round,train_loss,val_loss,val_acc,lr
1,0.8497500419616699,,,0.0007000000000000001
2,1.5643867032718846,,,0.0011500000000000002
3,1.0559534072875976,,,0.0016000000000000003
4,1.5495971875963732,24.5125259765625,1.0,0.00205
5,1.3956179707311094,,,0.0025
6,2.0723237421363594,,,0.00295
7,5.033632345160004,,,0.0034000000000000002
8,4.449143923923839,43.18004389648438,1.0,0.00385
9,4.339910014229827,,,0.0043
10,2.264561668515671,,,0.00475
11,2.1418546922621315,,,0.005200000000000001
12,3.156680244463496,65.90444365234374,1.0,0.0056500000000000005
13,6.668628899368923,,,0.0061
14,4.359394296247046,,,0.007
15,6.475711099104956,,,0.006996929905346005
16,9.421955680847168,104.3009546875,1.0,0.006987725007373265
17,7.816407891537528,,,0.0069724014546006735
18,8.466033343179152,,,0.006950986129746768
19,5.308221173554193,,,0.006923516602568321
20,8.32011604309082,83.0249375,1.0,0.00689004106395021
21,5.948035836219788,,,0.006850618241362237
22,6.182162477076053,,,0.006805317295831186
23,12.408819842420053,,,0.0067542177006088815
24,6.118617329362314,232.30855,1.0,0.0066974091017491045
25,20.3088134765625,,,0.006634991160837947
26,9.836620146781206,,,0.006567073380153525
27,6.57202644655481,,,0.006493774910561776
28,6.079376322997268,77.33491640625,1.0,0.006415224342485351
29,9.7851746081491,,,0.006331559480312319
30,3.6089400367694906,,,0.006242927100640443
31,5.182457699417137,,,0.0061494826947811505
32,8.721183825517073,87.9956875,1.0,0.006051390195974943
