round,train_loss,val_loss,val_acc,lr
1,2.044420684129,,,0.0007000000000000001
2,2.0342250196263194,,,0.0011500000000000002
3,2.0543443974107505,,,0.0016000000000000003
4,1.8892645737156273,0.7765835014343262,79.24,0.00205
5,2.0013059176504613,,,0.0025
6,1.9110152795910835,,,0.00295
7,2.0323798270896076,,,0.0034000000000000002
8,2.0043181801214813,0.8030470798492432,79.54,0.00385
9,1.8508441886864602,,,0.0043
10,2.0516823826357724,,,0.00475
11,1.8689054587855936,,,0.005200000000000001
12,1.9875732153654098,0.8410615921020508,77.64,0.0056500000000000005
13,1.9597679626196622,,,0.0061
14,1.9333252429962158,,,0.007
15,1.8449018340557815,,,0.006996929905346005
16,1.8685129527002573,0.7518748092651367,81.44,0.006987725007373265
17,1.8081818522885442,,,0.0069724014546006735
18,1.9082281881943346,,,0.006950986129746768
19,1.8634816432371735,,,0.006923516602568321
20,1.7940884245559574,0.7605495532989502,80.08,0.00689004106395021
21,1.8287862429395318,,,0.006850618241362237
22,1.7788338315673173,,,0.006805317295831186
23,1.815168260037899,,,0.0067542177006088815
24,1.7951535589993,0.7354482711791992,81.7,0.0066974091017491045
25,1.8063004658557476,,,0.006634991160837947
26,1.7350983362644912,,,0.006567073380153525
27,1.754958780668676,,,0.006493774910561776
28,1.7318476223386825,0.7251724868774414,82.14,0.006415224342485351
29,1.7183594157919289,,,0.006331559480312319
30,1.6691512256860732,,,0.006242927100640443
31,1.7322730550542473,,,0.0061494826947811505
32,1.6581266248598694,0.692418384552002,83.86,0.006051390195974943
33,1.7286270501092076,,,0.005948821691796782
34,1.5682782690040766,,,0.005841957122256007
35,1.739545859117061,,,0.005730983964120417
36,1.6890029648318887,0.6456676643371582,84.84,0.005616096902018315
37,1.686508242599666,,,0.005497497486895514
38,1.660045685619116,,,0.00537539378242649
39,1.57788981013,,,0.005250000000000002
40,1.6465128652751446,0.6832161087036133,83.02,0.005121536122919519
41,1.5461505204439163,,,0.004990227520477757
42,1.6495522851124407,,,0.004856304552582363
43,1.5942611772567035,,,0.004720002165626356
44,1.5927994385361672,0.6547574169158935,84.52,0.004581559480312319
45,1.6189194317907094,,,0.004441219372153433
46,1.5674176452681423,,,0.0042992280453872985
47,1.5193168316036463,,,0.00415583460105004
48,1.4321896150242537,0.6268410945892334,85.46,0.0040112905999684445
