round,train_loss,val_loss,val_acc,lr
1,1.9537880891934036,,,0.0007000000000000001
2,2.0369203448295594,,,0.0011500000000000002
3,2.0415276192128657,,,0.0016000000000000003
4,2.0704935662448407,0.7934912624359131,79.52,0.00205
5,1.9998889895156027,,,0.0025
6,1.9991093317046762,,,0.00295
7,2.1090405536815524,,,0.0034000000000000002
8,2.060983819514513,0.8512694477081298,78.34,0.00385
9,2.0425907265394927,,,0.0043
10,1.9804747581481934,,,0.00475
11,1.9704482885077597,,,0.005200000000000001
12,2.009799052402377,0.8298183288574219,78.12,0.0056500000000000005
13,1.785835460945964,,,0.0061
14,2.0127506520599128,,,0.007
15,1.9421617893502117,,,0.006996929905346005
16,1.932664941996336,0.8778705192565918,77.02,0.006987725007373265
