round,train_loss,val_loss,val_acc,lr
1,2.0270333372056486,,,0.0007000000000000001
2,1.995864175260067,,,0.0011500000000000002
3,1.989546262472868,,,0.0016000000000000003
4,2.087880427390337,0.8148933280944824,78.44,0.00205
5,2.013859998434782,,,0.0025
6,2.014913150295615,,,0.00295
7,2.0195426920428874,,,0.0034000000000000002
8,2.055675483122468,0.8089899505615235,79.62,0.00385
9,1.9432741533964872,,,0.0043
10,2.01811439152807,,,0.00475
11,1.9356714986264705,,,0.005200000000000001
12,1.9062261698767542,0.7473913261413574,80.08,0.0056500000000000005
13,1.892575891315937,,,0.0061
14,1.9451684679836034,,,0.007
15,1.8108761359006167,,,0.006996929905346005
16,1.9397972421720624,0.8599346656799316,77.7,0.006987725007373265
17,1.859637288749218,,,0.0069724014546006735
18,1.8750819137319923,,,0.006950986129746768
19,1.8934962322935462,,,0.006923516602568321
20,1.9549908313900233,0.7908777473449707,80.62,0.00689004106395021
21,1.8728214997798205,,,0.006850618241362237
22,1.7352649809792637,,,0.006805317295831186
23,1.8450493017211556,,,0.0067542177006088815
24,1.7955552501603962,0.7402679618835449,81.5,0.0066974091017491045
25,1.8330717656761408,,,0.006634991160837947
26,1.7242513481527566,,,0.006567073380153525
27,1.7053265945985914,,,0.006493774910561776
28,1.8093397580087185,0.7449379638671875,81.8,0.006415224342485351
29,1.7203029656782747,,,0.006331559480312319
30,1.715158810839057,,,0.006242927100640443
31,1.799734964966774,,,0.0061494826947811505
32,1.7526545841246843,0.7094693527221679,82.48,0.006051390195974943
33,1.7167017031461,,,0.005948821691796782
34,1.6858659208752216,,,0.005841957122256007
35,1.6973849778994918,,,0.005730983964120417
36,1.723425599373877,0.6639896808624267,83.88,0.005616096902018315
37,1.6742715053260326,,,0.005497497486895514
38,1.7151499933563172,,,0.00537539378242649
39,1.6362222992815076,,,0.005250000000000002
40,1.6199013654142618,0.6326639793395996,84.8,0.005121536122919519
41,1.6469311706721783,,,0.004990227520477757
42,1.6671872959472238,,,0.004856304552582363
43,1.6139724614098667,,,0.004720002165626356
44,1.607948978804052,0.6438908763885498,85.6,0.004581559480312319
45,1.5291112176142634,,,0.004441219372153433
46,1.525027953274548,,,0.0042992280453872985
47,1.613975175563246,,,0.00415583460105004
48,1.532227568887174,0.6271210308074952,85.2,0.0040112905999684445
