round,train_loss,val_loss,val_acc,lr
1,2.077378720790148,,,0.0007000000000000001
2,2.2209597136825323,,,0.0011500000000000002
3,2.1611321453005075,,,0.0016000000000000003
4,2.1669422034174204,0.7344585163116455,81.12,0.00205
5,2.1310253638774155,,,0.0025
6,2.1843403324484827,,,0.00295
7,2.197992068529129,,,0.0034000000000000002
8,2.2490865301340817,0.7313089683532715,81.24,0.00385
9,2.0976569674909116,,,0.0043
10,2.17627726085484,,,0.00475
11,2.1898783318698407,,,0.005200000000000001
12,2.0648111190646885,0.716006717300415,81.48,0.0056500000000000005
13,2.037746503762901,,,0.0061
14,2.0390561528503897,,,0.007
15,2.0208954192698,,,0.006996929905346005
16,2.06194607578218,0.7075635803222656,81.8,0.006987725007373265
17,2.032780217565596,,,0.0069724014546006735
18,1.9020638566464185,,,0.006950986129746768
19,2.017517182044685,,,0.006923516602568321
20,2.1348783599212764,0.7154180122375489,82.18,0.00689004106395021
21,1.9696889460086822,,,0.006850618241362237
22,1.9790266366675495,,,0.006805317295831186
23,1.97937405500561,,,0.0067542177006088815
24,2.0569785417988897,0.707335908126831,82.22,0.0066974091017491045
25,1.9388007808476686,,,0.006634991160837947
26,2.001033420860767,,,0.006567073380153525
27,2.091098343394697,,,0.006493774910561776
28,1.942469442076981,0.6911948272705078,82.42,0.006415224342485351
29,2.05674947258085,,,0.006331559480312319
30,1.9691295292228461,,,0.006242927100640443
31,2.0065931459888815,,,0.0061494826947811505
32,1.856455735489726,0.6808423564910888,82.56,0.006051390195974943
33,2.0045965062454343,,,0.005948821691796782
34,1.932435818016529,,,0.005841957122256007
35,1.9494821272790432,,,0.005730983964120417
36,2.0609261348843573,0.6988811317443848,82.54,0.005616096902018315
37,1.8941629873588681,,,0.005497497486895514
38,1.9400105135515333,,,0.00537539378242649
39,1.9371752282604575,,,0.005250000000000002
40,1.8459773385897278,0.6910133686065674,82.7,0.005121536122919519
41,1.9819831883534789,,,0.004990227520477757
42,1.9763611245900392,,,0.004856304552582363
43,1.8537045923992992,,,0.004720002165626356
44,1.9833781700581312,0.6807161148071289,82.74,0.004581559480312319
45,1.8631064984947443,,,0.004441219372153433
46,1.8881066815927625,,,0.0042992280453872985
47,2.038600047305226,,,0.00415583460105004
48,2.0185138579457997,0.6916707084655762,82.8,0.0040112905999684445
